query_id	doc_id	relevance	score
Q014	202511120276	0	0
Q014	202511120312	0	0
Q014	202511120317	0	0
Q014	202511120329	0	0
Q014	202511120334	0	0
Q014	202511120344	0	0
Q014	202511120352	0	0
Q014	202511120365	0	0
Q014	202511113003	0	0
Q014	202511113004	0	0
Q014	202511113005	0	0
Q014	202511113006	0	0
Q014	202511110317	0	0
Q014	202511110408	0	0
Q014	202511123003	0	0
Q014	202511070045	0	0
Q015	202511120135	0	0
Q015	202511120256	0	0
Q015	202511120267	0	0
Q015	202511120272	0	0
Q015	202511120276	0	0
Q015	202511120312	0	0
Q015	202511120317	0	0
Q015	202511120329	0	0
Q015	202511120334	0	0
Q015	202511120344	0	0
Q015	202511120352	0	0
Q015	202511120365	0	0
Q015	202511113003	0	0
Q015	202511113004	0	0
Q015	202511113005	0	0
Q015	202511113006	0	0
Q015	202511110317	0	0
Q015	202511110408	0	0
Q015	202511123003	0	0
Q015	202511070045	0	0
